packet_id,timestamp,length,direction,burst_id,gap_before,gap_after,rel_time,viz_bytes,cumulative_sum
0,0.21512250591467158,255,1,1,inf,0.2225127905461985,0.0,255.0,255.0
1,0.43763529646087007,273,-1,1,0.2225127905461985,0.05021084012962718,0.2225127905461985,-273.0,-18.0
2,0.48784613659049725,263,1,1,0.05021084012962718,0.07302631165870099,0.27272363067582567,263.0,245.0
3,0.5608724482491982,255,-1,1,0.07302631165870099,0.12287836077225345,0.34574994233452666,-255.0,-10.0
4,0.6837508090214517,245,1,1,0.12287836077225345,0.008633383543814488,0.4686283031067801,245.0,235.0
5,0.6923841925652662,257,-1,1,0.008633383543814488,0.20348233151017747,0.4772616866505946,-257.0,-22.0
6,0.8958665240754436,260,-1,1,0.20348233151017747,0.11198856285177416,0.680744018160772,-260.0,-282.0
7,1.0078550869272178,250,1,1,0.11198856285177416,0.12154452229388757,0.7927325810125463,250.0,-32.0
8,1.1293996092211054,255,-1,1,0.12154452229388757,0.05272884537351241,0.9142771033064339,-255.0,-287.0
9,1.1821284545946178,252,-1,1,0.05272884537351241,0.027837851446240958,0.9670059486799463,-252.0,-539.0
10,1.2099663060408588,256,-1,1,0.027837851446240958,0.26038546876295054,0.9948438001261872,-256.0,-795.0
11,1.4703517748038093,240,-1,1,0.26038546876295054,0.5681335470503994,1.2552292688891378,-240.0,-1035.0
12,2.0384853218542087,264,1,1,0.5681335470503994,0.20358278183277445,1.8233628159395372,264.0,-771.0
13,2.242068103686983,235,1,1,0.20358278183277445,0.10206622557910672,2.0269455977723116,235.0,-536.0
14,2.34413432926609,252,1,1,0.10206622557910672,0.033485220098464996,2.1290118233514184,252.0,-284.0
15,2.377619549364555,250,-1,1,0.033485220098464996,0.2460568654334261,2.1624970434498834,-250.0,-534.0
16,2.623676414797981,228,-1,1,0.2460568654334261,0.019179855481838093,2.4085539088833094,-228.0,-762.0
17,2.642856270279819,268,1,1,0.019179855481838093,0.34584033706325856,2.4277337643651475,268.0,-494.0
