packet_id,timestamp,length,direction,burst_id,gap_before,gap_after,rel_time,viz_bytes,cumulative_sum
0,0.11258441534813075,144,-1,1,inf,0.018714210696071,0.0,-144.0,-144.0
1,0.13129862604420175,143,1,1,0.018714210696071,0.015353890377482082,0.018714210696071,143.0,-1.0
2,0.14665251642168384,157,-1,1,0.015353890377482082,0.04465214628595504,0.034068101073553084,-157.0,-158.0
3,0.19130466270763888,155,1,1,0.04465214628595504,0.17787429278533093,0.07872024735950812,155.0,-3.0
4,0.3691789554929698,164,1,1,0.17787429278533093,0.05046943000874926,0.25659454014483907,164.0,161.0
5,0.41964838550171907,137,1,1,0.05046943000874926,0.160847038245659,0.30706397015358833,137.0,298.0
6,0.5804954237473781,152,-1,1,0.160847038245659,0.007537352761474603,0.4679110083992473,-152.0,146.0
7,0.5880327765088527,145,1,1,0.007537352761474603,0.13399432659643484,0.4754483611607219,145.0,291.0
8,0.7220271031052875,145,-1,1,0.13399432659643484,0.014884148781728168,0.6094426877571567,-145.0,146.0
9,0.7369112518870157,143,1,1,0.014884148781728168,0.07805318010973916,0.6243268365388849,143.0,289.0
10,0.8149644319967548,146,-1,1,0.07805318010973916,0.019279214140692003,0.702380016648624,-146.0,143.0
11,0.8342436461374468,142,-1,1,0.019279214140692003,0.0019970254181600477,0.721659230789316,-142.0,1.0
12,0.8362406715556069,163,-1,1,0.0019970254181600477,0.030853113729682247,0.7236562562074761,-163.0,-162.0
13,0.8670937852852891,138,1,1,0.030853113729682247,0.0706955008530098,0.7545093699371583,138.0,-24.0
14,0.9377892861382989,167,-1,1,0.0706955008530098,0.09670954218385319,0.8252048707901681,-167.0,-191.0
15,1.0344988283221521,148,-1,1,0.09670954218385319,0.19212491409345733,0.9219144129740213,-148.0,-339.0
16,1.2266237424156095,131,1,1,0.19212491409345733,0.24833998209035912,1.1140393270674787,131.0,-208.0
17,1.4749637245059686,163,-1,1,0.24833998209035912,0.22673775969040055,1.3623793091578378,-163.0,-371.0
18,1.7017014841963691,133,-1,1,0.22673775969040055,0.006751446566813479,1.5891170688482383,-133.0,-504.0
19,1.7084529307631826,140,1,1,0.006751446566813479,0.3239983949906964,1.5958685154150518,140.0,-364.0
20,2.032451325753879,161,-1,1,0.3239983949906964,0.19271308818163924,1.9198669104057482,-161.0,-525.0
21,2.2251644139355182,161,1,1,0.19271308818163924,0.052312170602560215,2.1125799985873877,161.0,-364.0
22,2.2774765845380784,142,1,1,0.052312170602560215,0.01829163568432124,2.164892169189948,142.0,-222.0
23,2.2957682202223997,153,1,1,0.01829163568432124,0.06303505088745798,2.183183804874269,153.0,-69.0
24,2.3588032711098577,160,-1,1,0.06303505088745798,0.016347518207998846,2.246218855761727,-160.0,-229.0
25,2.3751507893178565,155,-1,1,0.016347518207998846,0.01971110387868391,2.262566373969726,-155.0,-384.0
26,2.3948618931965404,146,1,1,0.01971110387868391,0.12124212836793058,2.28227747784841,146.0,-238.0
27,2.516104021564471,154,-1,1,0.12124212836793058,0.09113800622997426,2.4035196062163404,-154.0,-392.0
28,2.6072420277944452,160,-1,1,0.09113800622997426,0.0584487989238367,2.4946576124463147,-160.0,-552.0
29,2.665690826718282,163,-1,1,0.0584487989238367,0.0946275776937382,2.5531064113701514,-163.0,-715.0
30,2.76031840441202,158,1,1,0.0946275776937382,0.22847026484582367,2.6477339890638896,158.0,-557.0
31,2.988788669257844,153,1,1,0.22847026484582367,0.14907512627840935,2.8762042539097132,153.0,-404.0
32,3.137863795536253,128,1,1,0.14907512627840935,0.07658661214126417,3.0252793801881226,128.0,-276.0
33,3.2144504076775173,137,-1,1,0.07658661214126417,0.05855061651907256,3.1018659923293868,-137.0,-413.0
34,3.27300102419659,159,-1,1,0.05855061651907256,0.06328132704271239,3.1604166088484593,-159.0,-572.0
35,3.3362823512393023,141,1,1,0.06328132704271239,0.19913572304967575,3.2236979358911717,141.0,-431.0
36,3.535418074288978,158,-1,1,0.19913572304967575,0.2657005698895327,3.4228336589408475,-158.0,-589.0
37,3.8011186441785108,164,1,1,0.2657005698895327,0.06597609850752573,3.68853422883038,164.0,-425.0
38,3.8670947426860365,128,-1,1,0.06597609850752573,0.06989103950138587,3.754510327337906,-128.0,-553.0
39,3.9369857821874223,156,1,1,0.06989103950138587,0.04357092655174055,3.8244013668392918,156.0,-397.0
40,3.980556708739163,135,-1,1,0.04357092655174055,0.018649737178132675,3.8679722933910323,-135.0,-532.0
41,3.9992064459172956,146,-1,1,0.018649737178132675,0.010870293939066134,3.886622030569165,-146.0,-678.0
42,4.010076739856362,172,-1,1,0.010870293939066134,0.048943998437542824,3.897492324508231,-172.0,-850.0
43,4.0590207382939045,147,1,1,0.048943998437542824,0.01583796375746438,3.946436322945774,147.0,-703.0
44,4.074858702051369,139,1,1,0.01583796375746438,0.021663519276058807,3.9622742867032383,139.0,-564.0
45,4.096522221327428,150,1,1,0.021663519276058807,0.025296496466189033,3.983937805979297,150.0,-414.0
46,4.121818717793617,151,-1,1,0.025296496466189033,0.1787347080167443,4.009234302445486,-151.0,-565.0
47,4.300553425810361,152,1,1,0.1787347080167443,0.19754216691137483,4.18796901046223,152.0,-413.0
48,4.498095592721736,165,1,1,0.19754216691137483,inf,4.385511177373605,165.0,-248.0
