packet_id,timestamp,length,direction,burst_id,gap_before,gap_after,rel_time,viz_bytes,cumulative_sum
0,0.21242371643854976,103,-1,1,inf,0.25039117035032166,0.0,-103.0,-103.0
1,0.4628148867888714,112,1,1,0.25039117035032166,0.024439545377760274,0.25039117035032166,112.0,9.0
2,0.48725443216663167,104,1,1,0.024439545377760274,0.083284351827835,0.27483071572808193,104.0,113.0
3,0.5705387839944667,94,-1,1,0.083284351827835,0.2003240502645378,0.35811506755591693,-94.0,19.0
4,0.7708628342590045,93,-1,1,0.2003240502645378,0.0711247936621574,0.5584391178204547,-93.0,-74.0
5,0.8419876279211619,110,-1,1,0.0711247936621574,0.24855823262394605,0.6295639114826121,-110.0,-184.0
6,1.090545860545108,97,-1,1,0.24855823262394605,0.254030448560449,0.8781221441065582,-97.0,-281.0
7,1.344576309105557,95,1,1,0.254030448560449,0.008677048887524963,1.132152592667007,95.0,-186.0
8,1.3532533579930819,96,1,1,0.008677048887524963,0.032534041172337824,1.140829641554532,96.0,-90.0
9,1.3857873991654197,99,1,1,0.032534041172337824,0.0009400753803401329,1.1733636827268699,99.0,9.0
10,1.3867274745457598,101,-1,1,0.0009400753803401329,0.18473276542767203,1.17430375810721,-101.0,-92.0
11,1.5714602399734319,107,-1,1,0.18473276542767203,0.10417806587476175,1.359036523534882,-107.0,-199.0
12,1.6756383058481936,101,1,1,0.10417806587476175,0.18412824527873717,1.4632145894096438,101.0,-98.0
13,1.8597665511269308,85,-1,1,0.18412824527873717,0.030751772371873765,1.647342834688381,-85.0,-183.0
14,1.8905183234988046,90,1,1,0.030751772371873765,0.05072001251002689,1.6780946070602547,90.0,-93.0
15,1.9412383360088314,91,1,1,0.05072001251002689,0.080479739024377,1.7288146195702816,91.0,-2.0
16,2.0217180750332084,95,-1,1,0.080479739024377,0.01802522515738314,1.8092943585946586,-95.0,-97.0
17,2.0397433001905916,91,1,1,0.01802522515738314,0.04617308912970186,1.8273195837520417,91.0,-6.0
18,2.0859163893202934,115,-1,1,0.04617308912970186,0.015834150560047,1.8734926728817436,-115.0,-121.0
19,2.1017505398803404,103,-1,1,0.015834150560047,0.08430830357406949,1.8893268234417906,-103.0,-224.0
20,2.18605884345441,85,-1,1,0.08430830357406949,0.1216508648348884,1.97363512701586,-85.0,-309.0
21,2.3077097082892983,104,-1,1,0.1216508648348884,0.03403467447111064,2.0952859918507487,-104.0,-413.0
22,2.341744382760409,96,1,1,0.03403467447111064,0.056790415017710316,2.1293206663218593,96.0,-317.0
23,2.3985347977781193,103,1,1,0.056790415017710316,0.14110244192580046,2.1861110813395697,103.0,-214.0
24,2.5396372397039197,102,1,1,0.14110244192580046,0.05043438019402213,2.32721352326537,102.0,-112.0
25,2.590071619897942,99,-1,1,0.05043438019402213,0.2263733558643075,2.3776479034593923,-99.0,-211.0
26,2.8164449757622494,95,-1,1,0.2263733558643075,0.10186587191462815,2.6040212593236998,-95.0,-306.0
27,2.9183108476768775,94,-1,1,0.10186587191462815,0.22215069574902957,2.705887131238328,-94.0,-400.0
28,3.140461543425907,122,1,1,0.22215069574902957,0.11396079528412306,2.9280378269873575,122.0,-278.0
29,3.25442233871003,114,-1,1,0.11396079528412306,0.05963794057787197,3.0419986222714805,-114.0,-392.0
30,3.314060279287902,79,-1,1,0.05963794057787197,0.3843006793847037,3.1016365628493525,-79.0,-471.0
31,3.698360958672606,99,-1,1,0.3843006793847037,inf,3.485937242234056,-99.0,-570.0
