packet_id,timestamp,length,direction,burst_id,gap_before,gap_after,rel_time,viz_bytes,cumulative_sum
0,0.14599754953450958,302,1,1,inf,0.0049751469315731656,0.0,302.0,302.0
1,0.15097269646608275,311,1,1,0.0049751469315731656,0.011632947546960842,0.0049751469315731656,311.0,613.0
2,0.1626056440130436,297,-1,1,0.011632947546960842,0.11520865336750527,0.016608094478534008,-297.0,316.0
3,0.27781429738054886,283,1,1,0.11520865336750527,0.07228926162087529,0.13181674784603928,283.0,599.0
4,0.35010355900142415,305,1,1,0.07228926162087529,0.08477945174686641,0.20410600946691457,305.0,904.0
5,0.43488301074829055,294,-1,1,0.08477945174686641,0.1856022789776977,0.288885461213781,-294.0,610.0
6,0.6204852897259883,343,1,1,0.1856022789776977,0.06689183616509442,0.47448774019147866,343.0,953.0
7,0.6873771258910827,322,1,1,0.06689183616509442,0.1661491612310032,0.5413795763565731,322.0,1275.0
8,0.8535262871220859,269,-1,1,0.1661491612310032,0.07138472141664198,0.7075287375875763,-269.0,1006.0
9,0.9249110085387279,281,1,1,0.07138472141664198,0.2613477018817275,0.7789134590042183,281.0,1287.0
10,1.1862587104204554,295,1,1,0.2613477018817275,0.10993959102381878,1.0402611608859458,295.0,1582.0
11,1.2961983014442742,334,1,1,0.10993959102381878,0.016102221417524154,1.1502007519097646,334.0,1916.0
12,1.3123005228617983,275,-1,1,0.016102221417524154,0.04534268666383823,1.1663029733272887,-275.0,1641.0
13,1.3576432095256366,302,-1,1,0.04534268666383823,0.20082371564423673,1.211645659991127,-302.0,1339.0
14,1.5584669251698733,307,1,1,0.20082371564423673,0.043122179831873275,1.4124693756353637,307.0,1646.0
15,1.6015891050017466,308,-1,1,0.043122179831873275,0.020951898795582125,1.455591555467237,-308.0,1338.0
16,1.6225410037973287,306,1,1,0.020951898795582125,0.06398364100615739,1.476543454262819,306.0,1644.0
17,1.686524644803486,282,-1,1,0.06398364100615739,0.049886605012394725,1.5405270952689765,-282.0,1362.0
18,1.7364112498158808,300,-1,1,0.049886605012394725,0.09647720011972583,1.5904137002813712,-300.0,1062.0
19,1.8328884499356066,287,-1,1,0.09647720011972583,0.057406062496963006,1.686890900401097,-287.0,775.0
20,1.8902945124325696,306,-1,1,0.057406062496963006,0.030235202839116848,1.74429696289806,-306.0,469.0
21,1.9205297152716865,293,-1,1,0.030235202839116848,0.05318317347849644,1.7745321657371769,-293.0,176.0
22,1.973712888750183,283,-1,1,0.05318317347849644,0.05430631031099131,1.8277153392156733,-283.0,-107.0
23,2.0280191990611742,297,1,1,0.05430631031099131,0.23271017437970443,1.8820216495266646,297.0,190.0
24,2.2607293734408787,296,1,1,0.23271017437970443,0.3893017854879357,2.1147318239063693,296.0,486.0
25,2.6500311589288144,295,-1,1,0.3893017854879357,0.09770200888497405,2.504033609394305,-295.0,191.0
26,2.7477331678137884,304,1,1,0.09770200888497405,0.00868486148588632,2.601735618279279,304.0,495.0
27,2.7564180292996747,322,1,1,0.00868486148588632,0.13205018175821692,2.6104204797651653,322.0,817.0
28,2.8884682110578916,271,1,1,0.13205018175821692,0.11353345812094551,2.7424706615233823,271.0,1088.0
29,3.002001669178837,286,1,1,0.11353345812094551,0.1748831408089102,2.8560041196443278,286.0,1374.0
30,3.1768848099877474,325,1,1,0.1748831408089102,0.04268695628130503,3.030887260453238,325.0,1699.0
31,3.2195717662690524,305,1,1,0.04268695628130503,0.006068472366552058,3.073574216734543,305.0,2004.0
32,3.2256402386356045,302,1,1,0.006068472366552058,0.0946290808835446,3.079642689101095,302.0,2306.0
33,3.320269319519149,306,-1,1,0.0946290808835446,inf,3.1742717699846397,-306.0,2000.0
